# Paper: Simmonds et al. (2023)
# URL: https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.5468S/abstract

# Data columns
# ID	RA	DEC	zspec	beta	beta_err	xi_ion xi_ion_elow	xi_ion_eupp	mass	mass_elow	mass_eupp
1  	53.16408	-27.79971	 5.443	-1.60 	0.02 	25.61	0.11	0.12 	 9.22 	0.00	0.00 
2  	53.16612	-27.78576	 5.467	-1.84 	0.01 	25.86	0.12	0.13 	 8.92 	0.00	0.24 
3  	53.16904	-27.77884	 5.468	-2.07 	0.01 	25.66	0.02	0.02 	 8.42 	0.04	0.16 
4  	53.16571	-27.78494	 5.468	-1.95 	0.01 	25.56	0.05	0.05 	 8.61 	0.15	0.07 
5  	53.13859	-27.79024	 5.479	-1.47 	0.03 	26.59	0.10	0.09 	10.00 	0.00	0.00 
6  	53.15337	-27.77119	 5.520	-1.75 	0.03 	25.96	0.07	0.06 	 7.03 	0.40	0.44 
7  	53.14669	-27.78620	 5.520	-1.83 	0.01 	25.26	0.08	0.02 	 9.33 	0.17	0.01 
8  	53.14023	-27.78709	 5.522	-2.24 	0.02 	25.31	0.09	0.02 	 7.57 	0.48	0.38 
9  	53.16674	-27.80424	 5.822	-2.05 	0.01 	24.48	0.10	0.08 	 9.66 	0.06	0.11 
10 	53.16576	-27.80344	 5.885	-2.26 	0.02 	25.44	0.06	0.03 	 7.86 	0.17	0.38 
11 	53.17009	-27.77512	 5.889	-1.93 	0.01 	25.61	0.13	0.11 	 7.33 	0.49	0.44 
12 	53.17829	-27.77728	 5.893	-2.43 	0.02 	25.44	0.14	0.11 	 7.63 	0.32	0.05 
13 	53.16677	-27.78592	 5.895	-2.03 	0.01 	25.43	0.15	0.07 	 8.28 	0.23	0.19 
14 	53.16248	-27.79273	 5.897	-2.35 	0.01 	25.57	0.04	0.04 	 8.12 	0.19	0.19 
15 	53.15900	-27.79268	 5.899	-1.95 	0.01 	25.29	0.13	0.11 	 8.44 	0.29	0.11 
16 	53.16229	-27.77746	 5.915	-2.66 	0.02 	26.03	0.11	0.08 	 7.44 	0.58	0.54 
17 	53.16279	-27.76084	 5.915	-2.24 	0.02 	25.52	0.13	0.10 	 8.41 	0.24	0.21 
18 	53.14208	-27.77985	 5.919	-1.78 	0.01 	25.72	0.10	0.11 	 9.84 	0.06	0.12 
19 	53.13836	-27.77878	 5.930	-2.28 	0.02 	25.22	0.30	0.23 	 8.24 	0.36	0.18 
20 	53.15591	-27.79382	 5.946	-2.22 	0.02 	25.42	0.07	0.10 	 7.99 	0.14	0.15 
21 	53.15705	-27.77272	 5.972	-2.36 	0.01 	25.16	0.14	0.11 	 7.99 	0.24	0.15 
22 	53.17010	-27.79694	 5.981	-2.42 	0.02 	25.35	0.09	0.12 	 7.60 	0.27	0.25 
23 	53.16441	-27.76214	 6.096	-2.31 	0.01 	25.15	0.33	0.24 	 7.75 	0.09	0.72 
24 	53.17929	-27.77331	 6.102	-2.16 	0.01 	25.68	0.04	0.01 	 8.74 	0.45	0.00 
25 	53.16853	-27.77567	 6.106	-2.38 	0.02 	25.53	1.00	0.67 	 7.41 	0.33	0.25 
26 	53.18744	-27.77804	 6.109	-2.46 	0.02 	25.25	0.39	0.30 	 7.26 	0.11	0.16 
27 	53.16611	-27.77204	 6.302	-1.79 	0.01 	26.21	0.09	0.10 	 9.41 	0.66	0.06 
28 	53.15603	-27.78098	 6.310	-2.01 	0.01 	25.32	0.07	0.05 	 9.06 	0.30	0.13 
29 	53.16912	-27.76591	 6.342	-2.11 	0.01 	25.33	0.11	0.08 	 8.26 	0.36	0.19 
30 	53.15803	-27.78632	 6.631	-1.82 	0.01 	24.92	0.08	0.06 	 9.04 	0.23	0.26 
